plan_id,name,type,difficulty,duration_min,target_goal,description
29,Ashtanga Primary Series,yoga,advanced,75,flexibility,"Traditional Ashtanga primary series with set sequence of postures building heat, strength, and deep flexibility."
30,Yoga Sculpt,yoga,intermediate,45,muscle_gain,Hybrid yoga session incorporating light weights and high-rep exercises into traditional yoga flow for toning.
31,HIIT Inferno,HIIT,advanced,25,weight_loss,"All-out high-intensity interval training with burpees, mountain climbers, and plyometric jumps for maximum calorie burn."
32,Tabata Thunder,HIIT,advanced,20,weight_loss,"Classic Tabata protocol: 20 seconds max effort, 10 seconds rest for 8 rounds across multiple exercises."
33,Beginner HIIT,HIIT,beginner,20,weight_loss,Modified high-intensity intervals with longer rest periods and lower impact exercises for HIIT newcomers.
34,HIIT and Strength Combo,HIIT,intermediate,35,muscle_gain,Hybrid workout alternating strength exercises with cardio bursts for simultaneous muscle building and fat loss.
35,Metabolic Conditioning,HIIT,intermediate,30,weight_loss,Metabolic circuit combining compound movements at high intensity to elevate metabolism for hours post-workout.
36,EMOM Challenge,HIIT,advanced,30,endurance,Every-Minute-On-the-Minute workout with escalating rep schemes to push cardiovascular and muscular endurance limits.
37,Low Impact HIIT,HIIT,beginner,25,weight_loss,Joint-friendly HIIT session replacing jumps with low-impact alternatives while maintaining high heart rate.
38,HIIT Ladder Workout,HIIT,intermediate,30,endurance,Ascending and descending rep ladder with bodyweight exercises for sustained intensity and endurance building.
39,Spartan HIIT,HIIT,advanced,35,endurance,"Military-inspired HIIT combining bear crawls, burpees, sprints, and carries for extreme functional conditioning."
40,HIIT Yoga Fusion,HIIT,intermediate,40,weight_loss,Unique fusion alternating intense HIIT circuits with yoga recovery flows for balanced fitness and flexibility.
41,Classical Pilates Mat,pilates,intermediate,45,flexibility,"Traditional mat Pilates sequence focusing on the powerhouse, spinal articulation, and controlled precise movements."
42,Pilates for Core,pilates,beginner,30,muscle_gain,"Core-focused Pilates routine with hundred, roll-up, single leg stretch, and other foundational exercises."
43,Advanced Pilates Flow,pilates,advanced,50,flexibility,"Challenging Pilates session with teaser, control balance, and boomerang for experienced practitioners."
44,Pilates Reformer Basics,pilates,beginner,40,flexibility,"Introductory reformer Pilates covering footwork, leg circles, and basic arm springs for whole-body conditioning."
45,Pilates Barre Blend,pilates,intermediate,45,muscle_gain,Ballet barre-inspired Pilates workout with small pulsing movements for lean muscle toning and posture improvement.
46,Morning Mobility Routine,stretching,beginner,15,flexibility,"Quick morning mobility sequence with dynamic stretches targeting hips, shoulders, and thoracic spine."
47,Post-Workout Cool Down,stretching,beginner,15,flexibility,Essential cool-down stretches for all major muscle groups to improve recovery and reduce soreness.
48,Deep Flexibility Program,stretching,intermediate,40,flexibility,"Progressive flexibility training with PNF stretching techniques for splits, backbends, and shoulder flexibility."
49,Foam Rolling Recovery,stretching,beginner,20,flexibility,Self-myofascial release session using foam roller to break up adhesions and improve tissue quality.
50,Active Recovery Stretch,stretching,intermediate,30,flexibility,Light movement and stretching routine designed for rest days to promote blood flow and maintain flexibility.
51,CrossFit WOD,cross_training,advanced,45,endurance,"CrossFit-style workout of the day combining weightlifting, gymnastics, and cardio for high-intensity functional fitness."
52,Functional Fitness Circuit,cross_training,intermediate,40,endurance,"Circuit-based functional training with battle ropes, box jumps, sled pushes, and farmer carries."
53,Boot Camp Blast,cross_training,intermediate,45,weight_loss,"Military boot camp-inspired outdoor circuit with running, calisthenics, and partner exercises."
54,TRX Suspension Training,cross_training,intermediate,35,muscle_gain,Full-body TRX suspension workout using bodyweight and gravity for adjustable resistance training.
55,Obstacle Course Prep,cross_training,advanced,50,endurance,"Obstacle course race preparation combining running, climbing, crawling, and grip strength exercises."
56,Swimming Endurance,cross_training,intermediate,45,endurance,"Pool-based endurance workout with lap swimming, drills, and interval sets for cardiovascular and muscular endurance."
57,Martial Arts Conditioning,cross_training,advanced,40,endurance,"Martial arts-inspired conditioning with kicks, punches, agility drills, and core work for combat readiness."
58,Senior Fitness Program,cross_training,beginner,30,flexibility,"Safe, low-impact fitness program for seniors combining gentle strength work, balance exercises, and stretching."
59,Prenatal Fitness,cross_training,beginner,30,flexibility,"Pregnancy-safe workout with modified strength, pelvic floor exercises, and gentle stretching for maternal fitness."
60,Weekend Warrior Circuit,cross_training,intermediate,50,weight_loss,"Challenging weekend workout combining elements of strength, cardio, and agility for comprehensive fitness."
